No,Province,City,id_city,jne,jnt,ninja,wahana,pos
279,BALI,KABUPATEN BANGLI,5106,30000,20000,0,0,0
280,BALI,KABUPATEN KARANG ASEM,5107,30000,20000,0,0,0
281,BALI,KABUPATEN BULELENG,5108,30000,20000,0,0,0
282,BALI,KOTA DENPASAR,5171,30000,20000,0,0,0
283,NUSA TENGGARA BARAT,KABUPATEN LOMBOK BARAT,5201,30000,20000,0,0,0
284,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH,5202,30000,20000,0,0,0
285,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TIMUR,5203,30000,20000,0,0,0
286,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,5204,30000,20000,0,0,0
287,NUSA TENGGARA BARAT,KABUPATEN DOMPU,5205,30000,20000,0,0,0
288,NUSA TENGGARA BARAT,KABUPATEN BIMA,5206,30000,20000,0,0,0
289,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,5207,30000,20000,0,0,0
290,NUSA TENGGARA BARAT,KABUPATEN LOMBOK UTARA,5208,30000,20000,0,0,0
291,NUSA TENGGARA BARAT,KOTA MATARAM,5271,30000,20000,0,0,0
292,NUSA TENGGARA BARAT,KOTA BIMA,5272,30000,20000,0,0,0
293,NUSA TENGGARA TIMUR,KABUPATEN SUMBA BARAT,5301,30000,20000,0,0,0
294,NUSA TENGGARA TIMUR,KABUPATEN SUMBA TIMUR,5302,30000,20000,0,0,0
295,NUSA TENGGARA TIMUR,KABUPATEN KUPANG,5303,30000,20000,0,0,0
296,NUSA TENGGARA TIMUR,KABUPATEN TIMOR TENGAH SELATAN,5304,30000,20000,0,0,0
297,NUSA TENGGARA TIMUR,KABUPATEN TIMOR TENGAH UTARA,5305,30000,20000,0,0,0
298,NUSA TENGGARA TIMUR,KABUPATEN BELU,5306,30000,20000,0,0,0
299,NUSA TENGGARA TIMUR,KABUPATEN ALOR,5307,30000,20000,0,0,0
300,NUSA TENGGARA TIMUR,KABUPATEN LEMBATA,5308,30000,20000,0,0,0
301,NUSA TENGGARA TIMUR,KABUPATEN FLORES TIMUR,5309,30000,20000,0,0,0
302,NUSA TENGGARA TIMUR,KABUPATEN SIKKA,5310,30000,20000,0,0,0
303,NUSA TENGGARA TIMUR,KABUPATEN ENDE,5311,30000,20000,0,0,0
304,NUSA TENGGARA TIMUR,KABUPATEN NGADA,5312,30000,20000,0,0,0
305,NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI,5313,30000,20000,0,0,0
306,NUSA TENGGARA TIMUR,KABUPATEN ROTE NDAO,5314,30000,20000,0,0,0
307,NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI BARAT,5315,30000,20000,0,0,0
308,NUSA TENGGARA TIMUR,KABUPATEN SUMBA TENGAH,5316,30000,20000,0,0,0
309,NUSA TENGGARA TIMUR,KABUPATEN SUMBA BARAT DAYA,5317,30000,20000,0,0,0
310,NUSA TENGGARA TIMUR,KABUPATEN NAGEKEO,5318,30000,20000,0,0,0
311,NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI TIMUR,5319,30000,20000,0,0,0
312,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,5320,30000,20000,0,0,0
313,NUSA TENGGARA TIMUR,KABUPATEN MALAKA,5321,30000,20000,0,0,0
314,NUSA TENGGARA TIMUR,KOTA KUPANG,5371,30000,20000,0,0,0
315,KALIMANTAN BARAT,KABUPATEN SAMBAS,6101,30000,20000,0,0,0
316,KALIMANTAN BARAT,KABUPATEN BENGKAYANG,6102,30000,20000,0,0,0
317,KALIMANTAN BARAT,KABUPATEN LANDAK,6103,30000,20000,0,0,0
318,KALIMANTAN BARAT,KABUPATEN MEMPAWAH,6104,30000,20000,0,0,0
319,KALIMANTAN BARAT,KABUPATEN SANGGAU,6105,30000,20000,0,0,0
320,KALIMANTAN BARAT,KABUPATEN KETAPANG,6106,30000,20000,0,0,0
